"transaction_id","timestamp","amount","sender_vpa","receiver_vpa","sender_bank","receiver_bank","status","failure_reason","failure_type","error_code","retry_count","metadata"
"TXN000026","2025-07-23T14:07:25.897553","41035.61","user9826@phonepe","merchant427@paytm","CANARA","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000027","2025-08-06T14:07:25.897553","27209.6","user1074@amazonpay","merchant394@mobikwik","ICICI","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000028","2025-08-03T14:07:25.897553","5990.45","user1709@phonepe","merchant250@amazonpay","PNB","AXIS","FAILED","Bank server temporarily unavailable","bank_server_error","E004","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000029","2025-08-08T14:07:25.897553","38954.83","user9148@phonepe","merchant662@mobikwik","AXIS","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000030","2025-07-13T14:07:25.897553","49455.57","user4384@gpay","merchant599@phonepe","KOTAK","CANARA","FAILED","Network timeout occurred","network_issue","E003","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000031","2025-07-30T14:07:25.897553","15673.93","user6365@mobikwik","merchant967@amazonpay","ICICI","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000032","2025-08-04T14:07:25.897553","28418.88","user7096@mobikwik","merchant187@mobikwik","SBI","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000033","2025-08-06T14:07:25.897553","4072.23","user9137@phonepe","merchant821@paytm","KOTAK","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000034","2025-07-31T14:07:25.897553","37400.76","user6555@mobikwik","merchant628@mobikwik","PNB","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000035","2025-07-28T14:07:25.897553","38243.72","user6414@paytm","merchant970@phonepe","HDFC","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000036","2025-07-29T14:07:25.897553","43591.37","user3882@gpay","merchant602@mobikwik","HDFC","CANARA","FAILED","Bank server temporarily unavailable","bank_server_error","E004","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000037","2025-07-24T14:07:25.897553","2976.07","user3798@amazonpay","merchant493@gpay","KOTAK","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000038","2025-07-28T14:07:25.897553","31346.07","user9281@amazonpay","merchant632@amazonpay","CANARA","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000039","2025-07-29T14:07:25.897553","25751.79","user7678@paytm","merchant535@phonepe","CANARA","HDFC","FAILED","Insufficient balance in account","insufficient_funds","E001","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000040","2025-07-21T14:07:25.897553","46374.94","user3981@gpay","merchant862@phonepe","AXIS","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000041","2025-07-21T14:07:25.897553","34316.88","user5501@phonepe","merchant842@phonepe","SBI","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000042","2025-07-24T14:07:25.897553","36733.72","user8291@gpay","merchant265@phonepe","AXIS","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000043","2025-07-31T14:07:25.897553","41541.07","user9718@phonepe","merchant839@gpay","CANARA","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000044","2025-07-14T14:07:25.897553","9198.19","user5943@amazonpay","merchant689@phonepe","HDFC","CANARA","FAILED","Daily transaction limit exceeded","daily_limit_exceeded","E005","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000045","2025-07-25T14:07:25.897553","13076.83","user3902@phonepe","merchant158@paytm","CANARA","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000046","2025-08-08T14:07:25.897553","140.6","user3262@gpay","merchant561@mobikwik","HDFC","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000047","2025-07-25T14:07:25.897553","4882.85","user5636@phonepe","merchant877@paytm","HDFC","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000048","2025-08-05T14:07:25.897553","35866.87","user6132@paytm","merchant289@phonepe","HDFC","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000049","2025-07-22T14:07:25.897553","21276.7","user6460@paytm","merchant537@paytm","BOB","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000050","2025-07-24T14:07:25.897553","45593.92","user3362@gpay","merchant214@gpay","AXIS","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000051","2025-07-19T14:07:25.897553","48187.82","user1603@phonepe","merchant918@paytm","HDFC","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000052","2025-07-18T14:07:25.897553","4163.11","user1133@phonepe","merchant201@gpay","ICICI","HDFC","FAILED","Network timeout occurred","network_issue","E003","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000053","2025-08-05T14:07:25.897553","43703.99","user1285@phonepe","merchant663@phonepe","PNB","SBI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000054","2025-07-15T14:07:25.897553","27254.42","user1809@amazonpay","merchant998@amazonpay","PNB","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000055","2025-08-05T14:07:25.897553","22589.54","user9468@mobikwik","merchant585@mobikwik","AXIS","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000056","2025-08-02T14:07:25.897553","17974.89","user1893@phonepe","merchant402@phonepe","HDFC","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000057","2025-07-21T14:07:25.897553","17560.99","user7925@gpay","merchant351@amazonpay","ICICI","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000058","2025-08-03T14:07:25.897553","23894.96","user8431@phonepe","merchant376@mobikwik","SBI","ICICI","FAILED","Daily transaction limit exceeded","daily_limit_exceeded","E005","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000059","2025-07-17T14:07:25.897553","12088.88","user1835@phonepe","merchant611@phonepe","CANARA","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000060","2025-07-15T14:07:25.897553","20033.35","user7320@phonepe","merchant909@gpay","CANARA","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000061","2025-07-23T14:07:25.897553","39101.33","user5012@mobikwik","merchant723@phonepe","CANARA","PNB","FAILED","UPI PIN verification failed","authentication_failed","E008","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000062","2025-07-28T14:07:25.897553","29083.54","user1604@paytm","merchant251@gpay","AXIS","SBI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000063","2025-07-11T14:07:25.897553","28850.98","user9153@mobikwik","merchant834@mobikwik","HDFC","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000064","2025-07-12T14:07:25.897553","22989.12","user3261@mobikwik","merchant897@mobikwik","AXIS","KOTAK","FAILED","Bank server temporarily unavailable","bank_server_error","E004","3","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000065","2025-07-27T14:07:25.897553","37754.92","user2120@amazonpay","merchant690@paytm","BOB","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000066","2025-07-12T14:07:25.897553","36663.92","user7261@amazonpay","merchant860@amazonpay","HDFC","CANARA","FAILED","VPA does not exist","invalid_vpa","E006","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000067","2025-08-09T14:07:25.897553","38457.89","user1293@amazonpay","merchant600@paytm","PNB","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000068","2025-07-13T14:07:25.897553","14291.2","user7561@gpay","merchant923@amazonpay","HDFC","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000069","2025-07-18T14:07:25.897553","20046.68","user3054@gpay","merchant328@paytm","KOTAK","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000070","2025-07-12T14:07:25.897553","34354.61","user3920@gpay","merchant654@paytm","AXIS","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000071","2025-08-09T14:07:25.897553","35996.0","user2206@gpay","merchant570@gpay","BOB","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000072","2025-07-19T14:07:25.897553","20548.16","user7137@mobikwik","merchant801@mobikwik","CANARA","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000073","2025-07-30T14:07:25.897553","39730.51","user9702@mobikwik","merchant903@paytm","CANARA","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000074","2025-08-04T14:07:25.897553","45161.69","user9304@paytm","merchant493@mobikwik","PNB","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000075","2025-07-29T14:07:25.897553","28794.84","user9670@paytm","merchant974@phonepe","SBI","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000076","2025-07-30T14:07:25.897553","20249.23","user4869@mobikwik","merchant237@phonepe","BOB","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000077","2025-07-18T14:07:25.897553","9500.63","user8382@gpay","merchant578@phonepe","BOB","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000078","2025-08-06T14:07:25.897553","37607.47","user2705@gpay","merchant353@paytm","KOTAK","KOTAK","FAILED","Insufficient balance in account","insufficient_funds","E001","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000079","2025-08-05T14:07:25.897553","42072.5","user7621@paytm","merchant222@amazonpay","CANARA","AXIS","FAILED","Network timeout occurred","network_issue","E003","3","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000080","2025-08-05T14:07:25.897553","8580.5","user2622@mobikwik","merchant563@phonepe","KOTAK","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000081","2025-07-31T14:07:25.897553","18105.31","user4590@mobikwik","merchant157@mobikwik","PNB","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000082","2025-07-20T14:07:25.897553","14158.0","user4739@paytm","merchant127@phonepe","AXIS","BOB","FAILED","Bank server temporarily unavailable","bank_server_error","E004","3","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000083","2025-07-22T14:07:25.897553","38641.4","user7055@mobikwik","merchant728@amazonpay","HDFC","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000084","2025-08-05T14:07:25.897553","44514.89","user1967@paytm","merchant670@amazonpay","CANARA","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000085","2025-07-25T14:07:25.897553","3912.11","user4687@gpay","merchant124@mobikwik","CANARA","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000086","2025-07-25T14:07:25.897553","3903.07","user7770@paytm","merchant154@amazonpay","BOB","KOTAK","FAILED","Invalid VPA provided","incorrect_details","E002","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000087","2025-07-31T14:07:25.897553","37962.72","user3694@mobikwik","merchant608@phonepe","HDFC","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000088","2025-07-30T14:07:25.897553","1220.65","user3896@mobikwik","merchant916@paytm","ICICI","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000089","2025-07-27T14:07:25.897553","6817.09","user5443@amazonpay","merchant882@paytm","SBI","BOB","FAILED","UPI PIN verification failed","authentication_failed","E008","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000090","2025-07-11T14:07:25.897553","6666.69","user3854@paytm","merchant829@amazonpay","HDFC","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000091","2025-07-12T14:07:25.897553","42196.47","user4634@phonepe","merchant730@phonepe","SBI","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000092","2025-07-22T14:07:25.897553","10789.67","user7259@amazonpay","merchant499@paytm","ICICI","SBI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000093","2025-07-11T14:07:25.897553","20336.66","user2898@amazonpay","merchant324@phonepe","KOTAK","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000094","2025-07-18T14:07:25.897553","17131.79","user9434@phonepe","merchant302@amazonpay","KOTAK","SBI","FAILED","Bank server temporarily unavailable","bank_server_error","E004","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000095","2025-07-27T14:07:25.897553","45222.62","user3275@amazonpay","merchant320@paytm","PNB","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000096","2025-08-03T14:07:25.897553","35188.84","user3286@phonepe","merchant167@gpay","BOB","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000097","2025-08-06T14:07:25.897553","28243.49","user3241@amazonpay","merchant500@phonepe","AXIS","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000098","2025-07-26T14:07:25.897553","36869.34","user1114@phonepe","merchant697@gpay","ICICI","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000099","2025-07-16T14:07:25.897553","12413.42","user4470@phonepe","merchant309@mobikwik","BOB","KOTAK","FAILED","Insufficient balance in account","insufficient_funds","E001","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000100","2025-07-16T14:07:25.897553","12254.58","user5504@mobikwik","merchant799@mobikwik","HDFC","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000101","2025-08-06T14:07:25.897553","25515.45","user9008@paytm","merchant620@phonepe","ICICI","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000102","2025-08-03T14:07:25.898602","35488.24","user3601@mobikwik","merchant152@phonepe","ICICI","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000103","2025-07-17T14:07:25.898602","14313.2","user2726@gpay","merchant660@mobikwik","BOB","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000104","2025-07-10T14:07:25.898602","33291.21","user1185@paytm","merchant229@amazonpay","ICICI","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000105","2025-07-17T14:07:25.898602","7492.57","user4909@phonepe","merchant251@mobikwik","CANARA","CANARA","FAILED","Network timeout occurred","network_issue","E003","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000106","2025-08-09T14:07:25.898602","21316.54","user4054@amazonpay","merchant775@gpay","SBI","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000107","2025-07-26T14:07:25.898602","20266.25","user7804@paytm","merchant315@amazonpay","HDFC","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000108","2025-07-25T14:07:25.898602","21153.86","user2830@phonepe","merchant736@phonepe","KOTAK","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000109","2025-07-24T14:07:25.898602","44184.21","user5726@amazonpay","merchant688@phonepe","BOB","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000110","2025-07-16T14:07:25.898602","10841.38","user7429@amazonpay","merchant983@phonepe","SBI","PNB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000111","2025-07-10T14:07:25.898602","20753.34","user4923@amazonpay","merchant544@mobikwik","KOTAK","SBI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000112","2025-07-11T14:07:25.898602","26777.51","user3521@gpay","merchant979@paytm","HDFC","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000113","2025-07-26T14:07:25.898602","5381.93","user1161@paytm","merchant789@gpay","PNB","BOB","FAILED","Transaction timeout","timeout","E007","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000114","2025-08-02T14:07:25.898602","25835.89","user5890@phonepe","merchant723@amazonpay","SBI","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000115","2025-08-03T14:07:25.898602","14717.76","user3164@gpay","merchant221@phonepe","KOTAK","CANARA","FAILED","VPA does not exist","invalid_vpa","E006","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000116","2025-07-20T14:07:25.898602","44834.12","user1218@gpay","merchant615@phonepe","PNB","ICICI","FAILED","Network timeout occurred","network_issue","E003","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000117","2025-07-27T14:07:25.898602","40706.08","user9777@paytm","merchant645@paytm","PNB","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000118","2025-08-06T14:07:25.898602","36162.79","user8417@phonepe","merchant936@paytm","KOTAK","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000119","2025-08-09T14:07:25.898602","44220.72","user4908@amazonpay","merchant302@paytm","ICICI","SBI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000120","2025-07-11T14:07:25.898602","2401.87","user9605@amazonpay","merchant165@phonepe","ICICI","AXIS","FAILED","Network timeout occurred","network_issue","E003","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000121","2025-08-03T14:07:25.898602","42536.9","user5107@gpay","merchant104@paytm","CANARA","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000122","2025-08-08T14:07:25.898602","20259.43","user9599@gpay","merchant192@mobikwik","SBI","ICICI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000123","2025-07-15T14:07:25.898602","42069.93","user5272@paytm","merchant292@amazonpay","AXIS","SBI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000124","2025-07-13T14:07:25.898602","199.56","user7560@mobikwik","merchant910@gpay","AXIS","AXIS","FAILED","Transaction timeout","timeout","E007","3","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000125","2025-08-03T14:07:25.898602","49861.15","user8720@phonepe","merchant499@amazonpay","HDFC","HDFC","FAILED","Invalid VPA provided","incorrect_details","E002","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000126","2025-08-05T14:07:25.898602","7790.29","user3146@paytm","merchant145@phonepe","SBI","HDFC","FAILED","Daily transaction limit exceeded","daily_limit_exceeded","E005","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000127","2025-08-05T14:07:25.898602","33755.61","user1800@phonepe","merchant531@paytm","PNB","PNB","FAILED","Daily transaction limit exceeded","daily_limit_exceeded","E005","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000128","2025-07-24T14:07:25.898602","17110.78","user5500@paytm","merchant735@phonepe","AXIS","HDFC","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000129","2025-07-20T14:07:25.898602","27685.84","user8934@mobikwik","merchant410@mobikwik","AXIS","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000130","2025-08-05T14:07:25.898602","2226.96","user8034@paytm","merchant456@amazonpay","BOB","BOB","FAILED","Insufficient balance in account","insufficient_funds","E001","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000131","2025-07-14T14:07:25.898602","31829.39","user9121@gpay","merchant528@gpay","PNB","BOB","FAILED","Invalid VPA provided","incorrect_details","E002","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000132","2025-07-11T14:07:25.898602","40619.49","user9198@gpay","merchant656@amazonpay","SBI","SBI","FAILED","Daily transaction limit exceeded","daily_limit_exceeded","E005","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000133","2025-07-31T14:07:25.898602","48406.22","user1042@phonepe","merchant547@paytm","HDFC","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000134","2025-07-12T14:07:25.898602","12277.03","user4367@mobikwik","merchant488@mobikwik","HDFC","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
